len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
23,3,0,0,12,3,11,4,3,1,3,2,4,2.666666667,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://46.4.34.205/velo/tmp/v/,1
45,5,0,0,11,2,22,2,2,0,18,10.5,6,4,0,12,4,0,0,0,0,0,235,17,624,-1,http://nooterconstruction.com/cr/Gdoccc/index.php...,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,240,108,269,-1,http://www.cariboucoffee.com/,0
33,1,0,0,9,2,20,2,2,0,17,9.5,4,3,0,4,0,0,0,0,0,0,-1,-1,-1,-1,http://swarnajayanthiosa.lk/kl/dpbx/dpbx,1
20,3,0,0,1,0,19,4,0,0,9,4,0,0,0,0,0,0,0,0,0,0,-1,-1,269,-1,http://www.whiterose.co.th/,0
29,3,0,0,8,2,12,3,2,0,5,3.333333333,3,2.5,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://mytpu.com.au/js/lib/gkmjg.php,1
46,2,0,1,12,3,13,2,3,0,9,6,5,2.666666667,0,21,1,0,0,0,0,0,151,5,206,-1,http://e-drexler.com/p/idx04/00/0404drexlerBioCV.html,0
14,2,0,0,1,0,13,3,0,0,6,3.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,82234,http://pivnet.dlr.de/,0
66,5,1,0,36,4,21,2,4,0,17,10,10,7.75,0,9,4,0,0,0,0,0,15,9,381,78108,http://savingfaithchurch.org/wp-content/plugins/update/products/index....,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,4,8,116,0,http://www.icloudbrasil.com/,1
40,2,1,0,12,1,28,3,1,0,20,8.666666667,10,10,0,0,0,0,0,0,0,0,229,11,65,81101,http://www.concordiaexpeditions.com/luckypilot/,0
35,3,0,0,6,1,17,3,1,0,9,5,4,4,0,12,1,0,0,0,0,0,17,7,161,-1,http://www.billposas.com/2016/document.php,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,221,17,216,-1,http://www.jackstackbbq.com/,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,163,9,149,-1,http://www.coffeefool.com/,0
66,9,0,1,0,0,66,6,0,0,17,9.5,0,0,0,0,0,0,0,0,0,0,187,29,488,-1,http://appleid.apple.com-subscriptions.manager8040477235.bertovic.com....,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,66,6,333,28696,http://www.madridismo.org/,0
17,2,0,1,1,0,16,3,0,0,9,4.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.cicr-icrc.ca/,0
62,4,0,0,37,6,14,4,6,0,4,2.75,8,5,0,11,1,0,0,0,0,0,-1,-1,-1,-1,http://news.bbc.co.uk/sport1/hi/football/teams/m/man_city/6241052.stm,0
23,3,0,0,1,0,15,3,0,0,8,4.333333333,0,0,0,7,1,0,0,0,0,0,-1,8,142,44238,http://10215648.2fh.co/Log.php,1
66,4,0,0,40,4,10,2,4,0,7,4.5,13,8.75,0,16,3,1,0,0,0,0,-1,-1,-1,-1,http://dekanas.eu/delivery/ussaa/www_usaa_come/inetlogon/servelet_usaa...,1
45,4,0,0,19,3,16,4,3,0,4,3.25,8,5,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://www.grc.nasa.gov/WWW/K-12/airplane/nseqs.html,0
35,3,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,13,1,0,0,0,0,0,165,63,303,10023,http://www.broadwayworld.com/photogame.cfm,0
66,4,1,0,31,4,16,2,4,0,12,7.5,9,6.5,0,19,3,0,0,0,0,0,33,3,1011,-1,http://lakepineoral.com/junk/Account/update/documents/4c2374a223ff8bd4...,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,167,1,341,-1,http://www.indiagazette.com/,0
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,196,8,537,447310,http://www.surplusglobal.com/,0
38,3,0,0,5,1,24,3,1,0,17,7.333333333,3,3,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://chilipepperindian.com.au/log/index.htm,1
29,2,0,0,13,4,16,3,4,0,8,4.666666667,2,2,0,0,0,0,0,0,0,0,17,7,136,-1,http://www.bayanone.net/aa/22/33/44/,1
26,3,0,1,1,0,25,4,0,0,8,5.5,0,0,0,0,0,0,0,0,0,0,237,3,317,94089,http://tea-room.stores.yahoo.net/,0
66,7,1,0,3,1,19,2,1,0,15,9,1,1,0,44,6,0,0,0,0,0,41,43,614,-1,http://phalconwellness.com/2/online.wellsfargo.secure.userrstore894398...,1
33,3,0,0,6,1,17,3,1,0,10,5,4,4,1,10,1,0,0,0,0,0,-1,-1,-1,-1,http://www.teutoburgo.tk/java/otp4u.html,0
21,3,0,0,1,0,20,4,0,0,10,4.25,0,0,0,0,0,0,0,0,0,0,202,14,344,-1,http://www.realcoffee.co.uk/,0
44,4,0,0,23,3,18,2,3,0,14,8.5,11,6.333333333,0,3,3,0,0,0,0,0,9,3,217,-1,http://spiritualbeatz.com/wp-includes/pomo/page/...,1
31,1,0,0,11,2,16,2,2,0,12,7.5,4,4,0,4,0,0,0,0,0,0,92,4,483,-1,http://librarylions.com/aall/aall/X1z0,1
31,2,0,0,1,0,30,3,0,0,22,9.333333333,0,0,0,0,0,0,0,0,0,0,188,16,1009,75007,http://www.americanlibraryinparis.org/,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,220,20,510,-1,http://www.hailcotton.com/,0
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,192,60,289,-1,http://www.portwine.com/,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,228,12,81,-1,http://www.buztronics.com/,0
35,2,0,0,17,3,18,3,3,0,10,5.333333333,6,4.333333333,0,0,0,0,0,0,0,0,7,5,198,-1,http://www.emalbosaat.com/system/logs/aol/,1
16,3,0,0,1,0,15,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.nlm.nih.gov/,0
66,5,0,1,35,5,14,2,5,0,11,6.5,8,5.8,0,9,1,0,8,1,0,0,53,7,-1,-1,http://forest-camp.ru/wp-admin/network/uxc/Auto/newpage/index.php?;ema...,1
24,2,0,0,1,0,13,2,0,0,9,6,0,0,0,10,1,0,0,0,0,0,37,11,972,92821,http://handasapc.com/htd12.html,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,236,16,663,-1,http://www.russellstover.com/,0
25,2,0,0,7,1,18,3,1,0,8,5.333333333,5,5,0,0,0,0,0,0,0,0,2,10,56,-1,http://bearo.rareneos.com/poski/,1
45,3,0,1,10,1,14,3,1,0,7,4,8,8,0,8,1,0,13,1,9,0,-1,-1,-1,14167,http://www.harry-b.de/dokuwiki/doku.php?id=harry:cpm,0
25,2,0,0,14,2,11,3,2,0,4,3,8,5.5,0,0,0,0,0,0,0,0,-1,-1,-1,10587,http://www.emis.de/projects/JFM/,0
60,6,0,0,32,5,16,3,5,0,9,4.666666667,8,5.2,0,12,4,0,0,0,0,0,-1,-1,-1,-1,http://diarplast.com.ar/assets/frontend/onepage/img/nD/index.php...,1
64,6,0,0,33,4,17,3,4,0,8,5,8,7,0,14,4,0,0,0,0,0,103,5,198,83201,http://www.ournepal.info/joomla/includes/Archive/NATWEST/submit2.php...,1
36,2,0,0,25,3,11,3,3,0,3,3,8,7,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.ibm.com/software/awdtools/hlasm/,0
26,2,0,0,12,1,14,3,1,0,6,4,10,10,0,0,0,0,0,0,0,0,278,70,655,10011,http://www.forbes.com/private500/,0
24,1,0,0,8,1,9,2,1,0,5,4,6,6,0,7,0,0,0,0,0,0,175,5,199,-1,http://jhs82.com/images/dropbox,1
13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,217,47,13,110029,http://www.ipcs.org/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,108,108,20,-1,http://www.bloomsbythebox.com/,0
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,227,13,31,-1,http://www.ladyprimrose.com/,0
24,3,0,0,1,0,23,4,0,0,9,5,0,0,0,0,0,0,0,0,0,0,-1,14,-1,-1,http://random.finemedia.com.hk/,1
51,6,0,1,25,3,23,3,3,0,15,7,13,7,0,3,3,0,0,0,0,0,-1,8,-1,-1,http://fhdk.simply-winspace.it/postal/fr/manage.compte/...,1
24,2,0,1,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,170,10,75,-1,http://www.property-dealer.com/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,180,0,370,400059,http://www.seagullcooling.com/,0
36,3,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,11,1,0,0,0,0,0,248,52,33,-1,http://www.solopublications.com/journal.htm,0
17,1,0,0,1,0,16,2,0,0,12,7.5,0,0,0,0,0,0,0,0,0,0,127,5,227,-1,http://betsyvintage.com/,0
26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,232,8,926,-1,http://www.earththerapeutics.com/,0
28,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,6,0,0,0,0,0,0,187,77,245,94105,http://en.wikipedia.org/wiki/Google,0
33,4,0,0,9,1,17,4,1,0,5,3.5,7,7,0,7,1,0,0,0,0,0,-1,-1,-1,-1,http://www.cis.upenn.edu/~giorgi/cl.html,0
23,2,0,0,1,0,14,2,0,0,11,6.5,0,0,0,8,1,0,0,0,0,0,-1,-1,-1,-1,http://batesrealty.ca/logs.inf,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,94,2,300,-1,http://www.barcaforum.com/,0
13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,257,7,164,58188,http://www.saab.com/,0
44,7,0,0,25,2,16,3,2,0,8,4.666666667,14,11,0,3,3,0,0,0,0,0,11,1,2,0,http://www.irastrum.com/wp-admin/mail.yahoo.com/...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,237,15,380,-1,http://www.alhansen.com/,0
28,2,0,0,1,0,27,3,0,0,14,8.333333333,0,0,0,0,0,0,0,0,0,0,192,11,45,94043,http://realmadridzone.blogspot.com/,0
19,3,0,0,1,0,11,3,0,0,5,3,0,0,0,7,1,0,0,0,0,0,73,22,46,-1,http://lcham.co.uk/rss.php,1
20,3,0,0,1,0,19,4,0,0,9,4,0,0,0,0,0,0,0,0,0,0,171,9,122,-1,http://www.rbsmentor.co.uk/,0
31,2,0,0,12,1,19,3,1,0,12,5.666666667,10,10,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://qualyprintbh.com.br/formulario/,1
27,2,1,1,1,0,23,3,0,0,12,7,0,0,0,3,0,0,0,0,0,0,-1,-1,-1,-1,http://chase-update.square7.ch/jxh,1
37,2,1,1,12,2,14,2,2,0,10,6.5,5,4.5,0,11,1,0,0,0,0,0,24,0,668,-1,http://shape-love.org/azziu/line/verify.html,1
21,3,0,0,1,0,20,4,0,0,9,4.25,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.natmuseum.org.cy/,0
31,1,0,0,15,2,16,2,2,0,12,7.5,6,6,0,0,0,0,0,0,0,0,17,7,166,26000,http://slavkomrdalj.com/images/dallas/,1
23,1,0,0,6,1,17,2,1,0,13,8,4,4,0,0,0,0,0,0,0,0,25,11,18,54000,http://sardariqbalco.com/mail/,1
66,6,1,0,28,3,25,4,3,0,14,5.5,10,8,0,13,3,0,0,0,0,0,-1,-1,-1,-1,http://www.plantaoservopa.com.br/lavisa/paypal2016/accounts/52e2a76cee...,1
66,5,0,0,22,3,20,2,3,0,16,9.5,10,6,0,9,1,0,15,1,10,0,22,2,482,-1,http://cfandfibroliving.com/wp-content/plugins/s/index.php?wps=W9mKPl0...,1
26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,196,8,129,98108,http://www.choiceorganicteas.com/,0
66,5,0,0,12,3,27,3,3,0,19,8.333333333,3,2.666666667,0,27,3,1,0,0,0,0,26,10,46,700013,http://www.dankunimunicipality.com/web/us/log/USAA%20_%20Welcome%20to%...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,218,58,448,110015,http://www.palmohan.com/,0
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,210,6,60,-1,http://www.wineglobe.com/,0
24,3,0,0,1,0,23,4,0,0,13,5,0,0,0,0,0,0,0,0,0,0,191,1,733,-1,http://www.memorialcards.co.uk/,0
20,3,0,0,1,0,19,4,0,0,7,4,0,0,0,0,0,0,0,0,0,0,-1,18,-1,382010,http://agri.gujarat.gov.in/,0
66,5,1,0,22,3,26,2,3,0,22,12.5,10,6,0,9,1,0,9,1,0,0,5,7,61,-1,http://desksupportmanagements.com/up/signin/N2MAA5ED86/login.php?count...,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,228,23,279,-1,http://www.marketwatch.com/,0
53,8,1,0,6,1,44,6,1,0,13,6.5,4,4,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://secur.wellsfarg0.update.alfatatuagens.com.br/Usaa/...,1
21,1,0,0,13,1,8,2,1,0,5,3.5,11,11,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://sound.jp/strangelove/,0
48,5,0,0,23,3,13,2,3,0,10,6,9,6.333333333,0,12,4,0,0,0,0,0,184,-1,139,-1,http://realitherm.fr/images/bannieres/club/index.php...,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,207,9,1138,-1,http://www.fameyang.com/,0
30,4,0,0,6,1,14,4,1,1,3,2.75,4,4,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://188.212.103.34/winx/index.html,1
21,1,0,0,1,0,20,2,0,0,16,9.5,0,0,0,0,0,0,0,0,0,0,202,38,129,-1,http://chocolatecandies.net/,0
59,4,0,0,38,2,18,2,2,0,14,8.5,32,17.5,0,3,3,0,0,0,0,0,13,11,8,10400,http://srilankanenews.com/css/2a566dd5b6ea4dd80282a90161e7da2d/...,1
22,2,0,0,6,1,16,3,1,0,8,4.666666667,4,4,0,0,0,0,0,0,0,0,142,2,54,-1,http://www.19online.net/math/,0
66,5,0,0,34,5,24,3,5,0,17,7.333333333,10,5.6,0,8,3,0,0,0,0,0,-1,-1,-1,-1,http://higginsinsulation.com.au/downloader/Maged/Model/Config/fr/freem...,1
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,143,61,1712,-1,http://www.thunderbolttea.com/,0
66,6,0,1,18,1,19,3,1,0,11,5.666666667,16,16,0,12,1,0,17,2,0,0,144,12,368,-1,http://www.process-max.com/opasdio89ghh3gfw/cofirmuk.php?personal-UK&a...,1
47,4,0,0,27,3,17,2,3,0,13,8,11,7.666666667,0,3,3,0,0,0,0,0,4,8,134,0,http://gtavdescargar.com/wp-includes/rest-api/Usaa/...,1
49,2,0,0,6,1,16,3,1,0,9,4.666666667,4,4,0,27,0,4,0,0,0,0,187,77,245,94105,http://en.wikipedia.org/wiki/ICC_Cricket_Code_of_Conduct,0
51,5,0,0,31,3,17,3,3,0,9,5,17,9,0,3,3,0,0,0,0,0,55,5,209,-1,http://www.expertsip.com/uapower/Document-Shared68/doc/...,1
21,3,0,0,1,0,20,4,0,0,10,4.25,0,0,0,0,0,0,0,0,0,0,-1,18,172,-1,http://www.theatrenet.co.uk/,0
54,6,1,0,14,2,27,3,2,0,20,8.333333333,8,5.5,0,13,4,0,0,0,0,0,-1,-1,-1,-1,http://roseiradevistaalegre.com.br/sin/Outloook/login.html...,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,123,9,81,12054,http://www.poetrytomusic.com/,0
47,3,0,0,16,2,15,3,2,0,8,4.333333333,7,6.5,0,16,1,1,0,0,0,0,-1,-1,-1,-1,http://ai.stanford.edu/~suresh/theory/theory-home.html,0
34,2,0,0,15,3,19,3,3,0,12,5.666666667,6,3.666666667,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://stampamoveis.com.br/js/lib/dropbx/,1
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,152,28,284,310012,http://www.huaouchem.com/,0
56,5,0,0,40,3,13,3,3,0,6,3.666666667,32,12,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://www.arbido.ch/bu/3D/2932c0309f4158b2729a84d1ca86c078/...,1
13,2,0,0,1,0,12,3,0,0,5,3.333333333,0,0,0,0,0,0,0,0,0,0,-1,7,-1,110002,http://delhi.gov.in/,0
